neutral	oid	case_name	nw_cite	witnesses	status	notes	sample_context
2018 ND 28	19294	Martin v. Marquee Pacific, LLC, et al.	906 N.W.2d 65	9	HOLD	WINDOW:NO_WINDOW	s retaliatory discharge claim. [¶ 7] In *Martin v. Marquee Pacific, LLC* , 2018 ND 28 , ¶ 9, 906 N.W
2018 ND 43	19311	State v. Decker	907 N.W.2d 378	9	HOLD	WINDOW:NO_WINDOW	standard of review to a claim of a constitutional violation.” State v. Decker, 2018 ND 43, ¶ 6, 907 
2019 ND 236	19382	State v. Vogt	933 N.W.2d 916	9	HOLD	WINDOW:NO_WINDOW	Jensen an opportunity to respond under N.D.R.Ct. 3.2(a)(2). See State v. Vogt, 2019 ND 236, ¶¶ 9–10,
2019 ND 301	19448	Lessard v. Johnson	936 N.W.2d 528	9	AUTO		eld by either party must be included in the marital estate. Lessard v. Johnson, 2019 ND 301, ¶ 21, 9
2020 ND 176	19505	Krile v. Lawyer	947 N.W.2d 366	9	AUTO		tion to dismiss under N.D.R.Civ.P. 12(b)(6) de novo on appeal. Krile v. Lawyer, 2020 ND 176, ¶ 15, 9
2020 ND 118	19472	State v. Yoney	943 N.W.2d 791	9	AUTO		ttempt to knowingly commit murder was a non-cognizable offense. State v. Yoney, 2020 ND 118, ¶ 5 , 9
2021 ND 104	19581	Guardianship and Conservatorship of S.M.	960 N.W.2d 811	9	AUTO		laint based on In the Matter of the Guardianship and Conservatorship of S.M.H., 2021 ND 104, ¶ 20, 9
2022 ND 148	19660	Bolinske v. Sandstrom, et al.	978 N.W.2d 72	9	HOLD	WINDOW:NO_WINDOW	be overturned on appeal absent an abuse of discretion.” Bolinske v. Sandstrom, 2022 ND 148, ¶ 30, 97
2023 ND 171	19757	Berger, et al. v. Sellers, et al.	996 N.W.2d 329	9	AUTO		uestion of law which we review de novo on the entire record. Berger v. Sellers, 2023 ND 171, ¶ 7, 99
2024 ND 58	20030	Hoever v. Wilder	5 N.W.3d 544	9	AUTO		ainst Lukenbill. Issues not briefed on appeal are waived. See Hoever v. Wilder, 2024 ND 58, ¶ 5, 5 N
2024 ND 233	19989	Overbo v. Overbo, et al.	14 N.W.3d 898	9	HOLD	WINDOW:NO_WINDOW	sponte in violation of the party presentation principle. See Overbo v. Overbo, 2024 ND 233, ¶ 8, 14 
2019 ND 240	19386	Brock v. Price, et al.	934 N.W.2d 5	8	AUTO		ment is a question of law that we review de novo on the record. Brock v. Price, 2019 ND 240, ¶ 10, 9
2019 ND 261	19407	Fettig v. Fettig, et al. (consolidated w	934 N.W.2d 547	8	AUTO		law which we review de novo on the entire record. Fettig v. Estate of Fettig, 2019 ND 261, ¶ 8 , 934
2021 ND 19	19609	Johnson v. Menard	955 N.W.2d 27	8	AUTO		on appeal if the district court abuses its discretion. Johnson v. Menard, Inc., 2021 ND 19, ¶ 20, 95
2020 ND 147	19494	Lavallie v. Jay, et al.	945 N.W.2d 288	8	AUTO		to the district court for further determination on subject matter jurisdiction. 2020 ND 147 , ¶ 11, 
2021 ND 17	19602	Willprecht v. Willprecht	954 N.W.2d 707	8	HOLD	CONFLICT:['934 N.W.2d 707', '954 N.W.2d 707']	g the court’s rationale in awarding spousal support.” Willprecht v. Willprecht, 2021 ND 17, ¶ 11 , 9
2022 ND 150	19662	Northwest Landowners Association v. Stat	978 N.W.2d 679	8	HOLD	WINDOW:NO_WINDOW	e, 2020 ND 175, ¶ 21, 947 N.W.2d 382 (same); see Nw. Landowners Ass’n v. State, 2022 ND 150, ¶ 12, 9
2023 ND 247	19814	Koon v. State	1 N.W.3d 593	8	AUTO		ture and governed by the North Dakota Rules of Civil Procedure.” Koon v. State, 2023 ND 247, ¶ 20, 1
2024 ND 6	20032	State v. Salou	1 N.W.3d 602	8	AUTO		cretion regarding the evidence Williams contests on appeal. See State v. Salou, 2024 ND 6, ¶ 7, 1 N.
2024 ND 158	19905	State v. Watts	10 N.W.3d 563	8	AUTO		about a defendant’s invocation of the right to remain silent.” State v. Watts, 2024 ND 158, ¶ 22, 10
2024 ND 187	19937	Samaniego v. State	12 N.W.3d 827	8	HOLD	WINDOW:NO_WINDOW	niform Postconviction Procedure Act, N.D.C.C. ch. 29-32.1.” Samaniego v. State, 2024 ND 187, ¶ 6, 12
2010 ND 162	18745	Murphy v. Rossow	787 N.W.2d 746	7	AUTO		mitted or undisclosed property. *See*N.D.C.C. § 14-05-24(2); *Murphy v. Rossow,*2010 ND 162, 787 N.W
2011 ND 90	18851	Locken v. Locken, et al.	797 N.W.2d 301	7	AUTO		a question of law, which is fully reviewable on appeal.” *Locken v. Locken,* 2011 ND 90, ¶ 9, 797 N.
2013 ND 63	18985	Matter of Emelia Hirsch Trust (Cross-ref	832 N.W.2d 334	7	AUTO	SHARED:['2013 ND 41', '2013 ND 42', '2013 ND 63']	tion to vacate the reformation of the trust. *Matter of Emelia Hirsch Trust,* 2013 ND 63, ¶ 1, 832 N
2018 ND 52	19321	State v. Fleckenstein	907 N.W.2d 365	7	HOLD	WINDOW:NO_WINDOW	"otality of the circumstances must be considered."" *State v. Fleckenstein* , 2018 ND 52 , ¶ 7, 907 N."
2018 ND 57	19326	Sauter v. Miller, et al.	907 N.W.2d 370	7	HOLD	WINDOW:NO_WINDOW	"rmination, or it misinterprets or misapplies the law."" *Sauter v. Miller* , 2018 ND 57 , ¶ 31, 907 N"
2018 ND 30	19297	Valeu v. Strube	905 N.W.2d 728	7	HOLD	WINDOW:NO_WINDOW	ill not be reversed on appeal unless it is clearly erroneous. Valeu v. Strube , 2018 ND 30, ¶ 8, 905
2018 ND 45	19313	State v. Bruce	907 N.W.2d 773	7	HOLD	WINDOW:NO_WINDOW	t’s burden to raise and prove an inability to pay restitution. State v. Bruce, 2018 ND 45, ¶ 16, 907
2020 ND 39	19556	Ouradnik v. N.D. Dep't of Transportation	938 N.W.2d 392	7	AUTO		cumentary evidence is admissible, it must be authenticated.” Ouradnik v. Henke, 2020 ND 39, ¶ 20, 93
2019 ND 252	19398	Rocky Mountain Steel Foundations. v. Bro	934 N.W.2d 531	7	AUTO		tion standard. Rocky Mountain Steel Foundations, Inc. v. Brockett Company, LLC, 2019 ND 252, ¶ 7, 93
2020 ND 234	19527	MDU v. Behm	951 N.W.2d 208	7	AUTO		been properly presented in the first appeal. Montana-Dakota Utils. Co. v. Behm, 2020 ND 234, ¶ 8, 95
2020 ND 243	19529	WSI v. Oden	951 N.W.2d 187	7	AUTO		the burden of proving the defense. State by Workforce Safety and Ins. v. Oden, 2020 ND 243, ¶ 44 , 9
2022 ND 158	19670	Puklich v. Puklich, et al.	978 N.W.2d 668	7	HOLD	WINDOW:NO_WINDOW	ion to award sanctions is reviewed for abuse of discretion. Puklich v. Puklich, 2022 ND 158, ¶ 16, 9
2024 ND 39	20009	State v. Wiese	4 N.W.3d 242	7	AUTO		r joint and may be shown entirely by circumstantial evidence.’” State v. Wiese, 2024 ND 39, ¶ 11, 4 
2024 ND 180	19930	State v. Roller	11 N.W.3d 864	7	HOLD	WINDOW:NO_WINDOW	pellate rules must be complied with and treated respectfully.” State v. Roller, 2024 ND 180, ¶ 19, 1
2010 ND 160	18743	Matter of J.D.F. (CONFIDENTIAL)	787 N.W.2d 738	6	AUTO		al. The rules can, however, be read together and harmonized. *See In re J.D.F.,*2010 ND 160, ¶ 11, 7
2010 ND 164	18746	Bala, et al. v. State	787 N.W.2d 761	6	AUTO		judgment on the pleadings under N.D.R.Civ.P. 12(b)(6) de novo. *Bala v. State,*2010 ND 164, ¶ 7, 787
2015 ND 162	19066	Everett v. State	870 N.W.2d 26	6	AUTO	SHARED:['2015 ND 159', '2015 ND 160', '2015 ND 162', '2015 ND 166', '2015 ND 198']	res judicata. We affirmed the district court’s decisions. *Everett v. State,* 2015 ND 162, 870 N.W.2
2018 ND 62	19332	Riddle v. Riddle	907 N.W.2d 769	6	HOLD	WINDOW:NO_WINDOW	"rally, there is no right to counsel in civil matters."" *Riddle v. Riddle* , 2018 ND 62 , ¶ 16, 907 N"
2018 ND 58	19327	State, et al. v. White	907 N.W.2d 765	6	HOLD	WINDOW:NO_WINDOW	to protect their own interests. *Kautzman,* at ¶ 14 ; *State v. White* , 2018 ND 58 , ¶ 14, 907 N.W.
2018 ND 54	19323	Comes v. State	907 N.W.2d 393	6	HOLD	WINDOW:NO_WINDOW	"den of establishing grounds for post-conviction relief."" *Comes v. State* , 2018 ND 54 , ¶ 6, 907 N."
2018 ND 33	19300	State of North Dakota v. Laura Rende	905 N.W.2d 909	6	HOLD	WINDOW:NO_WINDOW	99 ND 145 , ¶¶ 10-12, 598 N.W.2d 787 . Recently in *State v. Rende* , 2018 ND 33 , ¶ 1, 905 N.W.2d 9
2019 ND 263	19409	Matter of Didier	934 N.W.2d 417	6	AUTO		n’s constitutional claim because it was not raised below. See Matter of Didier, 2019 ND 263, ¶ 11, 9
2020 ND 192	19511	Environmental Law & Policy Center, et al	948 N.W.2d 838	6	AUTO		entiary hearing. See, e.g., Envtl. Law & Policy Ctr. v. N.D. Pub. Serv. Comm’n, 2020 ND 192, ¶¶ 16-1
2020 ND 125	19479	Estate of Sande	943 N.W.2d 826	6	AUTO		mative defense has the burden to prove that defense. Matter of Estate of Sande, 2020 ND 125, ¶ 13, 9
2020 ND 148	19495	Wisnewski v. Wisnewski	945 N.W.2d 331	6	AUTO		his Court to take judicial notice on appeal. See, e.g., Wisnewski v. Wisnewski, 2020 ND 148, ¶ 18, 9
2020 ND 226	19524	Matter of Hehn	949 N.W.2d 848	6	AUTO		her findings and retained jurisdiction under N.D.R.App.P. 35(a)(3). In re Hehn, 2020 ND 226 , 949 N.
2020 ND 256	19537	Curtiss v. State	952 N.W.2d 43	6	AUTO		on to dismiss under N.D.R.Civ.P. 12(b)(6) de novo on appeal. Curtiss v. State, 2020 ND 256, ¶ 4 , 95
2020 ND 262	19543	Lindstaedt v. George	952 N.W.2d 102	6	AUTO		clude the court’s findings are not clearly erroneous. See Lindstaedt v. George, 2020 ND 262, ¶¶ 3, 5
2020 ND 261	19542	State v. Rodriguez	952 N.W.2d 233	6	AUTO		alleged error will only be reviewed for obvious error. See State v. Rodriguez, 2020 ND 261, ¶ 15 , 9
2020 ND 73	19569	North Star Mutual Insurance v. Ackerman,	940 N.W.2d 857	6	AUTO		n of law that we review de novo on the record. N. Star Mut. Ins. v. Ackerman, 2020 ND 73 , ¶ 6, 940 
2023 ND 6	19824	State v. Smith	984 N.W.2d 367	6	AUTO		and (3) the error affects the defendant’s substantial rights.” State v. Smith, 2023 ND 6, ¶ 5 , 984 
2020 ND 107	19462	Jacobs-Raak v. Raak, et al.	942 N.W.2d 879	6	AUTO		comply with the terms of the order distributing property. Jacobs-Raak v. Raak, 2020 ND 107, ¶ 10, 94
2022 ND 144	19657	State v. Anderson	977 N.W.2d 736	6	AUTO		rs Ass’n v. State, 2022 ND 150, ¶ 12, 978 N.W.2d 679 (same); State v. Anderson, 2022 ND 144, ¶ 7, 97
2023 ND 140	19833	Legacie-Lowe v. Lowe	994 N.W.2d 177	6	AUTO		s a question of law that is fully reviewable on appeal. Legacie-Lowe v. Lowe, 2023 ND 140, ¶ 4 , 994
2023 ND 192	19779	State v. Hatzenbuehler	996 N.W.2d 649	6	AUTO		t abuse its discretion in revoking Gai’s probation. See State v. Hatzenbuehler, 2023 ND 192, ¶ 6, 99
2024 ND 81	20056	Morales v. Weatherford U.S., et al.	6 N.W.3d 657	6	AUTO		laims and all the parties’ rights and liabilities. Morales v. Weatherford U.S., 2024 ND 81, ¶ 34, 6 
2024 ND 169	19917	Wollan v. Innovis Health	11 N.W.3d 1	6	HOLD	WINDOW:NO_WINDOW	he court finds Lukenbill breached the agreement. Wollan v. Innovis Health, LLC, 2024 ND 169, ¶ 15, 1
2022 ND 163	19675	Vogt v. State	978 N.W.2d 727	6	HOLD	WINDOW:NO_WINDOW	applicant bears the burden to establish the grounds for relief. Vogt v. State, 2022 ND 163, ¶ 5, 978
2024 ND 15	19896	Pinks, et al. v. Kelsch, et al.	2 N.W.3d 704	6	AUTO		. 1967) (piecemeal appeal dismissed under N.D.R.Civ.P. 54(b)); Pinks v. Kelsch, 2024 ND 15, ¶ 13, 2 
2024 ND 46	20017	Petro-Hunt v. Tank, et al.	4 N.W.3d 526	6	AUTO		f law which we review de novo on the entire record. Petro-Hunt, L.L.C. v. Tank, 2024 ND 46, ¶ 8, 4 N
2024 ND 94	20070	Jung v. State	6 N.W.3d 853	6	AUTO		ack the voluntary and intelligent character of the guilty plea.” Jung v. State, 2024 ND 94, ¶ 11, 6 
2024 ND 130	19875	McCay v. McCay, et al.	9 N.W.3d 687	6	AUTO		f merit, or demonstrates bad faith in pursuing the litigation.” McCay v. McCay, 2024 ND 130, ¶ 30, 9
2024 ND 164	19912	State v. Enriquez	10 N.W.3d 777	6	AUTO		upport the guilty verdicts, and N.D.R.App.P. 35.1(a)(7). See State v. Enriquez, 2024 ND 164, ¶ 24, 1
2024 ND 126	19870	Mwinyi v. State	9 N.W.3d 665	6	AUTO		nsuited to summary disposition without an evidentiary hearing. Mwinyi v. State, 2024 ND 126, ¶ 11, 9
2024 ND 235	19991	Hoff v. State	14 N.W.3d 892	6	HOLD	WINDOW:NO_WINDOW	the Uniform Postconviction Procedure Act, N.D.C.C. ch. 29-32.1.” Hoff v. State, 2024 ND 235, ¶ 13, 1
2025 ND 60	20270	State v. Gomez	18 N.W.3d 829	6	HOLD	WINDOW:NO_WINDOW	llegal if it is not authorized by the judgment of conviction. *State v. Gomez*, 2025 ND 60, ¶ 5, 18 
2012 ND 236	18898	Holkesvig v. Welte (cons. w/20120204-205	823 N.W.2d 786	5	AUTO	SHARED:['2012 ND 208', '2012 ND 233', '2012 ND 236', '2012 ND 250']	*See Holkesvig v. Moore,* 2013 ND 2, 828 N.W.2d 546; *Holkesvig v. Welte,* 2012 ND 236, 823 N.W.2d 7
2013 ND 1	18934	Holkesvig v. State (Consolidated w/20120	828 N.W.2d 546	5	AUTO	SHARED:['2013 ND 1', '2013 ND 15', '2013 ND 2']	f from the consequences of his guilty plea to stalking. *Holkesvig v. State,* 2013 ND 1, 828 N.W.2d 
2010 ND 241	18779	In the Interest of Voisine	795 N.W.2d 38	5	AUTO		rous individual and remanding for further proceedings); In Interest of Voisine, 2010 ND 241, ¶ 1, 79
2012 ND 250	18899	Interest of Voisine (Cross-reference w/2	823 N.W.2d 786	5	AUTO	SHARED:['2012 ND 208', '2012 ND 233', '2012 ND 236', '2012 ND 250']	involuntary commitment as sexually dangerous individual); Interest of Voisine, 2012 ND 250, ¶ 1, 823
2018 ND 9	19340	Guthmiller v. N.D. Dep't of Transportati	906 N.W.2d 73	5	HOLD	WINDOW:NO_WINDOW	law fully reviewable on appeal, *see* *Guthmiller v. N.D. Dep't of Transp.,* 2018 ND 9 , ¶ 6, 906 N.
2018 ND 31	19298	State v. Brown (consolidated w/20170048,	906 N.W.2d 120	5	HOLD	WINDOW:NO_WINDOW	nt, as that intent is expressed in the language of the statute. State v. Brown, 2018 ND 31, ¶ 18, 90
2018 ND 18	19269	State v. Adams	905 N.W.2d 758	5	HOLD	CONFLICT:['905 N.W.2d 3', '905 N.W.2d 758'];WINDOW:NO_WINDOW	878 F.3d at 659 ; *Tugwell* , 125 F.3d at 602 ; *State v. Adams* , 2018 ND 18 , ¶ 10, 905 N.W.2d 758
2019 ND 256	19402	State v. G.C.H.	934 N.W.2d 857	5	AUTO		f the statutes and the purpose for which they were enacted.” State v. G.C.H., 2019 ND 256, ¶ 13 , 93
2019 ND 262	19408	State v. Vetter	934 N.W.2d 543	5	AUTO		hild abuse. This Court affirmed Michelle Vetter’s conviction. State v. Vetter, 2019 ND 262 , 934 N.W
2018 ND 10	19243	Continental Resources, Inc. v. Counce En	905 N.W.2d 768	5	HOLD	WINDOW:NO_WINDOW	subject involved in an action.” Cont’l Res., Inc. v. Counce Energy BC #1, LLC, 2018 ND 10, ¶ 6 , 905
2019 ND 304	19451	Interest of G.L.D. (CONFIDENTIAL)	936 N.W.2d 539	5	AUTO		G.L.D. presently has serious difficulty controlling his behavior. In re G.L.D., 2019 ND 304, ¶ 8 , 9
2019 ND 290	19436	State v. Comes	936 N.W.2d 114	5	AUTO		e attempt to give meaning to every word, phrase, and sentence.” State v. Comes, 2019 ND 290, ¶ 7, 93
2019 ND 297	19443	Donald Robert Edwardson v. State of Nort	936 N.W.2d 376	5	AUTO		trial strategy was reasonable. N.D.R.App.P. 35.1(a)(2); see Edwardson v. State, 2019 ND 297, ¶ 9, 93
2019 ND 284	19430	State of North Dakota v. James Dubois, J	936 N.W.2d 380	5	AUTO		or holdings in State v. Gonzalez, 2011 ND 143, 799 N.W.2d 402, State v. Dubois, 2019 ND 284, 936 N.W
2019 ND 251	19397	Clarke v. Taylor	934 N.W.2d 414	5	AUTO		on the record, a written order need not repeat all findings.” Clarke v. Taylor, 2019 ND 251, ¶ 9, 93
2020 ND 258	19539	Three Aces Properties v. United Rentals 	952 N.W.2d 64	5	AUTO		on the entire record.” Three Aces Props. LLC v. United Rentals (N. Am.), Inc., 2020 ND 258 , ¶ 8, 95
2021 ND 106	19583	Interest of K.B. (CONFIDENTIAL) (CONSOLI	961 N.W.2d 293	5	AUTO		ed expert witness if necessary to make the required findings. Interest of K.B., 2021 ND 106, ¶ 11, 9
2021 ND 26	19620	McClintock v. NDDOT	955 N.W.2d 62	5	AUTO		t and reviewing its legal conclusions de novo.” McClintock v. Dep’t of Transp., 2021 ND 26, ¶ 6, 955
2020 ND 213	19519	G & D Enterprises v. Liebelt	949 N.W.2d 853	5	AUTO		of law which we review de novo on the entire record. G&D Enters. v. Liebelt, 2020 ND 213, ¶ 5 , 949 
2020 ND 257	19538	Everett v. State	952 N.W.2d 95	5	AUTO		an order prohibiting new filings without leave of court. See Everett v. State, 2020 ND 257 , 952 N.W
2021 ND 105	19582	Pennington, et al. v. Continental Resour	961 N.W.2d 264	5	AUTO		s mandate into effect according to its terms.” Pennington v. Cont’l Res., Inc., 2021 ND 105, ¶ 10 , 
2021 ND 206	19614	Chase v. State	966 N.W.2d 557	5	AUTO		reversed and remanded based on this Court’s recent decision in Chase v. State, 2021 ND 206 , 966 N.W
2020 ND 162	19500	In the Interest of Edward Skorick	946 N.W.2d 513	5	AUTO		ng Skorick’s petition for discharge from civil commitment. Interest of Skorick, 2020 ND 162, 946 N.W
2022 ND 119	19643	Blue Appaloosa v. NDIC	975 N.W.2d 578	5	AUTO		the pretext of pursuing its spirit. Blue Appaloosa, Inc. v. N.D. Indus. Comm’n, 2022 ND 119, ¶ 8, 97
2022 ND 84	19708	Energy Transfer, et al. v. ND Private In	973 N.W.2d 404	5	AUTO		are appealable.” Energy Transfer LP v. N.D. Private Investigative and Sec. Bd., 2022 ND 84, ¶ 7, 973
2023 ND 39	19817	Interest of A.P. (CONFIDENTIAL)	987 N.W.2d 345	5	AUTO		ples of statutory construction when interpreting court rules. Interest of A.P., 2023 ND 39, ¶ 10 , 9
2023 ND 109	19716	O'Neal v. State	992 N.W.2d 14	5	AUTO		forensic testing done on a weapon used in an attempted murder. O'Neal v. State, 2023 ND 109, ¶ 9, 99
2019 ND 276	19422	State v. Legare	935 N.W.2d 773	5	HOLD	WINDOW:NO_WINDOW	ers a conditional plea of guilty under N.D.R.Crim.P. 11(a)(2). State v. Legare, 2019 ND 276, ¶ 9, 93
2023 ND 195	19782	Hillestad v. Small	5 N.W.3d 489	5	HOLD	WINDOW:OUT[2024-04-18..2024-04-19]	t reviewed under the clearly erroneous standard of review.” Hillestad v. Small, 2023 ND 195, ¶ 6, 5 
2024 ND 79	20053	State v. Pederson	6 N.W.3d 619	5	AUTO		rve the issue of sufficiency of the evidence for appeal. See State v. Pederson, 2024 ND 79, ¶ 17, 6 
2024 ND 44	20015	Meuchel v. Red Trail Energy	4 N.W.3d 203	5	AUTO		determine the credibility of the witnesses.” Meuchel v. Red Trail Energy, LLC, 2024 ND 44, ¶ 16, 4 N
2024 ND 138	19883	Fahey, et al. v. Cook, et al.	9 N.W.3d 668	5	AUTO		etation presents a question of law, fully reviewable on appeal.” Fahey v. Cook, 2024 ND 138, ¶ 22, 9
2024 ND 55	20027	State v. Nelson	5 N.W.3d 554	5	AUTO		egal if ‘it is not authorized by the judgment of conviction.’” State v. Nelson, 2024 ND 55, ¶ 3, 5 N
2024 ND 133	19878	Belyeu v. State	9 N.W.3d 648	5	AUTO		ces establish a manifest injustice for an abuse of discretion. Belyeu v. State, 2024 ND 133, ¶ 7, 9 
2024 ND 228	19983	Lindeman v. State	14 N.W.3d 883	5	HOLD	WINDOW:NO_WINDOW	rial fact.” Mertz v. State, 535 N.W.2d 834, 836 (N.D. 1995). Lindeman v. State, 2024 ND 228, ¶ 5, 14
2024 ND 99	20075	Aune v. State	6 N.W.3d 833	5	AUTO		is not pleaded. Chase v. State, 2024 ND 215, ¶ 17, 14 N.W.3d 37; Aune v. State, 2024 ND 99, ¶ 6, 6 N
2024 ND 97	20073	Armitage v. Armitage	6 N.W.3d 828	5	AUTO		lity is a finding of fact that we review for clear error. Armitage v. Armitage, 2024 ND 97, ¶ 5, 6 N
2025 ND 47	20255	Higgins, et al. v. Lund, et al.	17 N.W.3d 828	5	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	ent under N.D.R.Civ.P. 54(b), is necessary for appealability.” Higgins v. Lund, 2025 ND 47, ¶ 8, 17 
2025 ND 134	20115	State v. Berkley	24 N.W.3d 69	5	HOLD	WINDOW:NO_WINDOW	ews the juvenile court’s interpretation of a statute de novo. State v. Berkley, 2025 ND 134, ¶ 5, 24
2025 ND 87	20299	Zittleman v. Bibler, et al.	20 N.W.3d 148	5	HOLD	WINDOW:NO_WINDOW	reviewing an alleged violation of a constitutional right.” Zittleman v. Bibler, 2025 ND 87, ¶ 7, 20 
2010 ND 161	18744	Snyder v. Snyder	787 N.W.2d 727	4	AUTO		not immunize the obligor from paying spousal support. *See Snyder v. Snyder,* 2010 ND 161, ¶¶ 9-11, 
2013 ND 2	18955	Holkesvig v. Moore (Cross-reference w/20	828 N.W.2d 546	4	AUTO	SHARED:['2013 ND 1', '2013 ND 15', '2013 ND 2']	oing in the criminal investigation and prosecution. *See Holkesvig v. Moore,* 2013 ND 2, 828 N.W.2d 
2012 ND 208	18883	Holkesvig v. Grove (consol. w/ 20120225)	823 N.W.2d 786	4	AUTO	SHARED:['2012 ND 208', '2012 ND 233', '2012 ND 236', '2012 ND 250']	6; *Holkesvig v. Welte,* 2012 ND 236, 823 N.W.2d 786; *Holkesvig v. Grove,* 2012 ND 208, 823 N.W.2d 
2015 ND 264	19103	Wheeler v. State (consolidated w/2015011	872 N.W.2d 634	4	AUTO		t 1, 2013. We summarily affirm under N.D.R.App.P. 35.1(a)(7). Wheeler v. State, 2015 ND 264, ¶ 2, 87
