citation,version_id,prev,next,context
N.D.C.C. § 10-32.1-13,635,under,surviving,"o approve a merger, conversion, or domestication under section surviving, converted, or domesticated organizat"
N.D.C.C. § 10-32.1-35,658,under,action,"se provided in subsection 2, a derivative action under section action is commenced and remains a member while "
N.D.C.C. § 10-33-26,754,to,,of the incorporators or by the first board pursuant to section
N.D.C.C. § 10-33-68,796,under,a,y voting member as of the record date determined under section  a. The meeting is an adjourned meeting and the
N.D.C.C. § 10-33-75,804,of,,may be given in the manner provided in subsection 5 of section
N.D.C.C. § 10-33-108,837,of,attorney,g involving a corporation described in subsection 1 of section attorney general. In all proceedings under this
N.D.C.C. § 10-33-115,844,of,shows,r subsection 4 of section 10-33-101 or subsection 1 of section shows good cause for not having previously file
N.D.C.C. § 10-35-05,897,by,,at a provision of the articles or bylaws authorized by section
N.D.C.C. § 11-01-04,938,in,thirty-one,"ndard parallel with the meander line of Devils Lake in section thirty-one, township one hundred fifty-three no"
N.D.C.C. § 11-01-14,948,of,twenty-five,"-three and ninety-four west to the northeast corner of section twenty-five, township one hundred forty-one nor"
N.D.C.C. § 11-01-14,948,of,twenty-four,"the tenth standard parallel to the southeast corner of section twenty-four, township one hundred forty-one nor"
N.D.C.C. § 11-01-46,980,of,twenty-five," ninety and ninety-one west to the northeast corner of section twenty-five, township one hundred forty-one nor"
N.D.C.C. § 11-09.2-02,1117,under,,"s and restaurant sales, and county lodging taxes under section"
N.D.C.C. § 11-19.1-11,1455,in,, or video or audio recording subject to limitations in section
N.D.C.C. § 11-28.1-12,1556,in,reasons,y assessment who has appealed therefrom as provided in section reasons why the action of the commission should
N.D.C.C. § 11-28.2-04,1564,under,by,ided by a recreation service district other than under section by the special assessment and present and votin
N.D.C.C. § 11-28.3-03,1573,in,," district, which levy may not exceed the limitation in section"
N.D.C.C. § 11-28.3-10,1580,by,,s the current annual maximum tax levy as authorized by section
N.D.C.C. § 11-28-06,1594,in,construction,"mmissioners and may levy taxes annually as provided in section construction, equipping, and maintaining struct"
N.D.C.C. § 11-28-11,1599,or,hereof,"onstitutions. Should any word, sentence, paragraph, or section hereof be held to be unconstitutional, or shoul"
N.D.C.C. § 11-33-02,1657,to,likewise," resolution all or any parts of the county, subject to section likewise may enact suitable regulations to carr"
N.D.C.C. § 11-38-01,1683,of,, tax of up to two mills as provided in subsection 2 of section
N.D.C.C. § 12-48.1-02,1824,under,outside,as the result of conviction of a class AA felony under section outside facilities under the control of the dep
N.D.C.C. § 12-60-16.4,1926,of,,emeanor violations of subdivision c of subsection 5 of section
N.D.C.C. § 12-63-07,1966,of,board,isfying the requirements of subsections 1 through 5 of section board prescribes and be accompanied by the fee 
N.D.C.C. § 12-63-12,1971,to,a,"al information provided to the board is not subject to section a denial of an application, the applicant may n"
N.D.C.C. § 12.1-06.1-05,2067,of,e,y a pattern of racketeering activity or a violation of section e. Ordering the payment of all costs and expens
N.D.C.C. § 12.1-06.1-05,2067,of,b,"est acquired or maintained by a person in violation of section b. Any interest in, security of, claims against"
N.D.C.C. § 12.1-06.1-06,2068,under,,"achment, garnishment, or other remedy authorized under section"
N.D.C.C. § 12.1-06-01,2075,under,guilty,"pt if the conduct would establish his complicity under section guilty of committing or attempting the crime, f"
N.D.C.C. § 12.1-21.1-04,2218,of,, class C felony. A person who violates subsection 6 of section
N.D.C.C. § 12.1-21-06,2226,under,under,has pled guilty or been convicted of a violation under section under subsection 1 must be assessed a fine equi
N.D.C.C. § 12.1-23-08,2250,of,," thousand dollars, as determined under subsection 7 of section"
N.D.C.C. § 12.1-32-06.1,2349,of,defendant,ty of a class AA felony sexual offense in violation of section defendant. If the defendant has pled or been fo
N.D.C.C. § 12.1-32-09.1,2357,of,have,"s section, an offender sentenced under subsection 1 of section have been met. 4. An offender who is convicted "
N.D.C.C. § 12.1-32-15,2364,under,,ntralized database of DNA identification records under section
N.D.C.C. § 12.1-32-16,2366,of,,"ourt, as specified in subdivision e of subsection 4 of section"
N.D.C.C. § 12.1-36.1-04,2394,of,years,"ns of section 29-04-02, prosecution for a violation of section years after the offense is reported to law enfo"
N.D.C.C. § 12.1-37-01,2396,under,,"under this chapter, a copy of a record certified under section"
N.D.C.C. § 12.1-41-14,2418,of,motion,f prostitution or an offense listed in subsection 1 of section motion to the court to vacate the conviction an
N.D.C.C. § 13-01.2-04,2435,of,fewer,"vision b of subsection 6, and subsections 10 and 11 of section fewer than five thousand consumers."
N.D.C.C. § 13-02.1-08,2459,of,value,is not voidable under subdivision a of subsection 1 of section value given the debtor or against any subsequen
N.D.C.C. § 13-04.1-02.1,2468,in,estate,"er, broker, or a real estate salesperson as defined in section estate sold by the real estate broker, broker, "
N.D.C.C. § 13-09.1-35,2580,under,state,rcent of the surety bond or deposit provided for under section state. 2. Unless permitted by the commissioner 
N.D.C.C. § 13-10-09,2608,of,or,equirements of subdivisions a and c of subsection 1 of section or regulation of the commissioner.
N.D.C.C. § 13-12-04,2655,in,estate,"er, broker, or a real estate salesperson as defined in section estate sold by the real estate broker, broker, "
N.D.C.C. § 14-02.1-02,2708,in,alternatives,at the printed materials given to her and described in section alternatives to abortion; (3) That the father i
N.D.C.C. § 14-05-23,2899,in,,f the order is subject to the penalties established in section
N.D.C.C. § 14-06.1-12,2922,with,,addition to the evaluation required in accordance with section
N.D.C.C. § 14-07.7-03,2975,under,closed,n for a domestic violence protection order filed under section closed to the public. The court shall allow to 
N.D.C.C. § 14-09-09.3,3138,under,has, to the state disbursement unit for distribution under section has failed to withhold or deliver income for mo
N.D.C.C. § 14-12.2-04,3240,of,of,port order of another state unless the requirements of section of section 14-12.2-46.3 are met.
N.D.C.C. § 14-12.2-44,3288,of,,ered order may be modified only if the requirements of section
N.D.C.C. § 14-14.1-30,3348,under,law,"l award the fees, costs, and expenses authorized under section law enforcement officials, and set a further he"
N.D.C.C. § 14-15.1-01,3367,under,specific,"ive parent"" means the person or persons eligible under section specific child. 6. ""Relative"" means a brother, "
N.D.C.C. § 14-15.1-08,3374,to,,edings under this chapter are confidential pursuant to section
N.D.C.C. § 15-08-19.3,3689,of,lines," except: 1. Within thirty-three feet [10.06 meters] of section lines; 2. As allowed by the terms of a lease, p"
N.D.C.C. § 15-10-14.1,3753,to,,ducation shall submit the reports required pursuant to section
N.D.C.C. § 15-10-38.3,3796,of,,subsection 1 of section 15-10-38.1 and subsection 1 of section
N.D.C.C. § 15-20.2-13,4050,in,,s of the publication of the resolution provided for in section
N.D.C.C. § 15-39.1-12,4101,in,set,a vested right to a retirement annuity as set forth in section set forth in section 15-39.1-10 but the benefit
N.D.C.C. § 15-39.1-19.2,4112,of,,or elect to return to teaching under the provisions of section
N.D.C.C. § 15-39.1-24,4118,under,board," as amended, to purchase refunded service credit under section board shall adopt rules to ensure that the roll"
N.D.C.C. § 15.1-06-08.2,4312,under,failed,public instruction may revoke any waiver granted under section failed to perform in accordance with the agreed
N.D.C.C. § 15.1-06-19,4326,under,,the department of career and technical education under section
N.D.C.C. § 15.1-09.1-10,4396,of,to, superintendent under subdivision l of subsection 1 of section to the association in which the district partic
N.D.C.C. § 15.1-13-26,4544,of,overturned,"osition of sentence in accordance with subsection 4 of section overturned on appeal. b. ""Crime against a child"
N.D.C.C. § 15.1-21-02.6,4701,or,a,"ents of section 15.1-21-02.4, section 15.1-21-02.5, or section a. Graduates from a high school in this state; "
N.D.C.C. § 15.1-21-23,4732,of,, to be kindergarten instructional days for purposes of section
N.D.C.C. § 15.1-23-12,4755,by,must,ol district shall use the remediation plan required by section must remain in effect until such time as the ch
N.D.C.C. § 15.1-23-15,4758,under,progress,tion for a child with a developmental disability under section progress reports prepared by the services plan 
N.D.C.C. § 15.1-23-15,4758,under,,orts prepared by the services plan team selected under section
N.D.C.C. § 15.1-27-04.1,4789,to,district's,strict that becomes an elementary district pursuant to section district's baseline funding per weighted studen
N.D.C.C. § 15.1-29-01,4852,with,a, attend school in a bordering state in accordance with section a. (1) The student lives within forty miles [64
N.D.C.C. § 15.1-30-14,4883,under,under,d a reciprocal contract with the bordering state under section under section 15.1-29-02.
N.D.C.C. § 15.1-34-13,4942,of,department,he registration requirement under subsection 1 or 2 of section department.
N.D.C.C. § 15.1-36-08,4962,with,of,ousand dollars of taxable valuation in accordance with section of section 21-03-07; and (2) Post the informati
N.D.C.C. § 15.1-40-02,4981,under,performance,ered by the superintendent of public instruction under section performance agreement. 15. Is subject to the pu
N.D.C.C. § 16.1-01-07,5016,of,electorate,ons. The ballot form must conform to the provisions of section electorate of each county and to prepare sample
N.D.C.C. § 16.1-02-11,5042,of,may,dopt rules and procedures according to subsection 3 of section may: 1. Provide for the establishment and maint
N.D.C.C. § 16.1-07-08,5119,in,,re server that is used by covered voters as defined in section
N.D.C.C. § 16.1-07-12.1,5126,in,,ntee ballots must be opened and handled as required in section
N.D.C.C. § 16.1-07-15,5130,by,c," official of the board shall take the oath required by section c. The county auditor, with the consent of the "
N.D.C.C. § 16.1-07-31,5145,in,absentee,"uthentication, other than the declaration specified in section absentee ballot, is not required for execution "
N.D.C.C. § 16.1-08.1-02.4,5154,under,disclosure,itical committee not required to file statements under section disclosure statement that includes all contribu
N.D.C.C. § 16.1-08.1-03.5,5160,in,referred, an expenditure to a measure committee as described in section referred measure or petition or make an expendi
N.D.C.C. § 16.1-12-02.1,5254,in,applicant's,state of the certificate of nomination provided for in section applicant's name upon the general election ball
N.D.C.C. § 16.1-13-05,5269,with,,blication purposes must be arranged in accordance with section
N.D.C.C. § 16.1-13-08.1,5273,in,the,"on 16.1-11-10, and statements of interest described in section the state shall be filed with the secretary of "
N.D.C.C. § 16.1-15-17,5364,in,certification,a meeting of the state canvassing board as provided in section certification of the election results.
N.D.C.C. § 16.1-15-37,5384,in,,s and verify the computed final results as provided in section
N.D.C.C. § 18-01-25,5482,in,,s to whom notice of the order was given as provided in section
N.D.C.C. § 18-05-13,5537,by,,visions of this chapter must be audited as required by section
N.D.C.C. § 18-11-22,5615,to,,rovisions of this chapter must be examined pursuant to section
N.D.C.C. § 18-13-03,5649,with,set,n the certification has been tested in accordance with section set forth in subdivision c of subsection 1 of s
N.D.C.C. § 19-02.1-10,5687,of,which,be exempt from subdivisions a and b of subsection 5 of section which requires the name and address of the real
N.D.C.C. § 19-02.1-12,5690,of,with,"n 19-02.1-09 with respect to any food, subsection 1 of section with respect to any cosmetic, unless there is i"
N.D.C.C. § 19-02.1-15,5697,of,requirements,"by regulation, remove drugs subject to subsection 4 of section requirements are not necessary for the protecti"
N.D.C.C. § 19-03.1-23,5747,or,with,"nternet, but a person who violates section 12-46-24 or subsection with respect to: a. A controlled substance c"
N.D.C.C. § 19-24.1-23,5897,under,result,pesticide test or a random quality sampling test under section  result immediately to the department and to th
N.D.C.C. § 2-06-01.2,5987,under,concessions," has operational control of airports constructed under section concessions, or the lease of portions of the pr"
N.D.C.C. § 20.1-01-28,6051,by,, must be identical to the statutory fee established by section
N.D.C.C. § 20.1-02-16.7,6087,with,,ists of transfers and deposits made in accordance with section
N.D.C.C. § 20.1-02-16.8,6088,with,subject,"ists of transfers and deposits made in accordance with section subject to legislative appropriations, for impr"
N.D.C.C. § 20.1-03-12.3,6145,of,,disabled veteran license as defined in subsection 6 of section
N.D.C.C. § 20.1-03-40,6178,under,suspension,"ng, and fishing privileges for at least one year under section suspension, revocation, or denial, or guided on"
N.D.C.C. § 20.1-13.1-04,6295,by,,s deemed not to have withdrawn the consent provided by section
N.D.C.C. § 20.1-13.1-08,6299,under,hearing,ng a person from operating a motorboat or vessel under section hearing if the person mails a request for the h
N.D.C.C. § 20.1-13-09,6318,to,,d or otherwise available to the department pursuant to section
N.D.C.C. § 20.1-15-04,6337,by,,s deemed not to have withdrawn the consent provided by section
N.D.C.C. § 21-02-05,6384,in,, information as required for the recording of bonds in section
N.D.C.C. § 21-03-07,6416,of,dedicated,s authorized by section 57-15-06.6 and subsection 5 of section dedicated levy for the purposes identified unde
N.D.C.C. § 21-10-02,6517,in,,charged with the investment of the funds enumerated in section
N.D.C.C. § 23-01-05.5,6633,with,a,s confidential and may be disclosed in accordance with section a. The state forensic examiner or the examiner'
N.D.C.C. § 23-06.6-04,6739,under,other,her person authorized to make an anatomical gift under section other person making the gift or by authorizing 
N.D.C.C. § 23-06.6-07,6742,under,section,e an anatomical gift of the donor's body or part under section section 23-06.6-05. 2. A donor's revocation of 
N.D.C.C. § 23-06.6-07,6742,under,under,f an anatomical gift of the donor's body or part under section under section 23-06.6-04 or 23-06.6-09. 3. If a
N.D.C.C. § 23-06.6-09,6744,under,class,"ion 3, an anatomical gift by a person authorized under section class who is reasonably available. If more than"
N.D.C.C. § 23-07.5-02,6820,of,,therwise provided by subdivision b of subsection 11 of section
N.D.C.C. § 23-07-21,6877,of,,otherwise breaches the confidentiality requirements of section
N.D.C.C. § 23-09-01,6915,or,of,"nu. 14. ""Retail food store"" means any establishment or section of an establishment where food and food product"
N.D.C.C. § 23-11-16.1,6982,to,, participate in a county housing authority pursuant to section
N.D.C.C. § 23-13-15,7058,by,systems,tal property with the exception of property covered by section systems for the protection of occupants of the 
N.D.C.C. § 23-16.1-02.1,7075,to,,the state health officer to choose another pursuant to section
N.D.C.C. § 23-21.1-07,7154,in,,"ce, lot, or part thereof, in any cemetery described in section"
N.D.C.C. § 23-27-07,7242,in,be,ct organizational meeting pursuant to the procedure in section be deemed organized and operating under the pro
N.D.C.C. § 23-30-07,7259,in,must,uditors may levy a tax not exceeding the limitation in section must be: 1. Collected as other taxes are collec
N.D.C.C. § 23-34-03,7267,to,,"strative action, and are not public records subject to section"
N.D.C.C. § 23.1-04-10,7414,to,ordinances,ay issue permits for commercial facilities pursuant to section ordinances are equal to or more stringent than 
N.D.C.C. § 23.1-05-01,7422,of,d,the uses specified in subparagraph E of paragraph 2 of subsection d of section 2021e of title 42 of the United
N.D.C.C. § 23.1-05-01,7422,of,d,s trustee pursuant to subparagraph A of paragraph 2 of subsection d of section 2021e of title 42 of the United
N.D.C.C. § 23.1-06-07,7429,under,facilities,"lies to any petition submitted to the department under section facilities, coal-fueled electric generating uni"
N.D.C.C. § 23.1-12-19,7529,under,,the department for partial or full reimbursement under section
N.D.C.C. § 23.1-16-09,7595,by,,he inspection fees. Certificate fees are determined by section
N.D.C.C. § 24-01-43,7659,of,purposes, hereinafter constructed contrary to the provisions of section purposes of highway expansion.
N.D.C.C. § 24-02-07.3,7716,of,,etermined according to the criteria in subsection 5 of section
N.D.C.C. § 54-44.7-03,7717,of,and,with the provision in subdivision c of subsection 2 of section and contract negotiation must be performed acco
N.D.C.C. § 24-02-25.2,7737,under,against,"d labor, materials, or supplies and made a claim under section against the contractor or surety within one yea"
N.D.C.C. § 24-02-45.3,7767,under,moneys, into cooperative agreements with any transferee under section moneys pursuant to legislative appropriations t
N.D.C.C. § 24-06-27,7860,in,caused," or in any way injures any ditch opened as provided in section caused by such injury, which must be assessed b"
N.D.C.C. § 24-06-28,7861,to,impracticable,cross section lines which have been closed pursuant to section impracticable due to the topography of the land
N.D.C.C. § 24-06-28,7861,of,lines,o subsection 3 may not be considered an obstruction of section lines and any person who damages any fence or w
N.D.C.C. § 24-06-30,7863,of,notice,"any fences not constructed pursuant to subsection 2 of section notice to remove stones, trees, or rubbish. If "
N.D.C.C. § 24-08-06,7912,in,this,"he cost of any bridge to be constructed as provided in section this state, to be expended under a commission o"
N.D.C.C. § 24-09-01.1,7921,to,,advance warning signs designed and located pursuant to section
N.D.C.C. § 25-03.1-09,8111,of,person, to determine whether it complies with requirements of section person requiring treatment. If probable cause h
N.D.C.C. § 25-03.1-43,8151,of,, to proceedings under this chapter for the purposes of section
N.D.C.C. § 25-03.3-03.1,8171,in,,s attorney of an appropriate county as provided for in section
N.D.C.C. § 25-04-06,8207,with,accomplished,s established by the department and in accordance with section accomplished without admission for residential 
N.D.C.C. § 26.1-03.1-04,8405,under,within,challenges an adjusted risk-based capital report under section within forty-five days after the notification t
N.D.C.C. § 26.1-03.1-04,8405,under,within,rer challenges a revised risk-based capital plan under section within forty-five days after the notification t
N.D.C.C. § 26.1-03.2-05,8419,under,modified,"h organization has challenged a corrective order under section modified the corrective order, the failure of t"
N.D.C.C. § 26.1-03-10,8438,under,,ent. The fees for publication are those provided under section
N.D.C.C. § 26.1-05-24,8512,to,,all securities specified in any list filed pursuant to section
N.D.C.C. § 26.1-06.1-15,8538,under,,his subsection has the same effect as a petition under section
N.D.C.C. § 26.1-06.1-24,8547,with,,he court for disbursement of assets in accordance with section
N.D.C.C. § 26.1-06.1-34,8557,by,section,"t be filed with the liquidator in the form required by section section 26.1-06.1-21, except that proof of clai"
N.D.C.C. § 26.1-06.1-36,8559,with,," even if contingent, if it is filed in accordance with section"
N.D.C.C. § 26.1-06.1-42,8565,under,,ociation. Unresolved disputes must be determined under section
N.D.C.C. § 26.1-06.1-55,8578,under,,iver shall make a recommendation to the court as under section
N.D.C.C. § 26.1-10.1-02,8672,under,chapter,"s or dispositions of assets need not be reported under section chapter, a material acquisition, or the aggrega"
N.D.C.C. § 26.1-10.1-03,8673,under,agreements,eded reinsurance agreements need not be reported under section agreements or new ceded reinsurance agreements 
N.D.C.C. § 26.1-10.3-02,8683,of,, contains the information described in subsection 2 of section
N.D.C.C. § 26.1-10-11,8704,of,by,e commissioner any person has committed a violation of section by affiliates or by the insurance holding compa
N.D.C.C. § 26.1-12.1-15,8740,of,,eorganizing insurer in accordance with subsection 1 of section
N.D.C.C. § 26.1-12.2-03,8745,to,a,"ls or entities granted subscription rights pursuant to section a. In a public offering; however, if the number"
N.D.C.C. § 26.1-14-14,8843,with,under,"er into a contract with the company in accordance with section under any contract, the contracting health serv"
N.D.C.C. § 26.1-15.1-12,8856,by,,ofit institutions to further the purposes permitted by section
N.D.C.C. § 26.1-17.1-25,8933,in,service,service organization is subject to the tax provided in section service organization is entitled to the same ta
N.D.C.C. § 26.1-18.1-02,8973,under,state,ertificate of authority as a foreign corporation under section state laws. 2. Any health maintenance organizat
N.D.C.C. § 26.1-21-09.1,9043,to,determines,ute hunting and fishing licenses or stamps pursuant to section determines that funds received under this secti
N.D.C.C. § 26.1-26.8-09,9201,in,,bed by the commissioner and pay a fee as prescribed in section
N.D.C.C. § 26.1-26-13.2,9240,under,,se must pass a written examination unless exempt under section
N.D.C.C. § 26.1-26-34,9279,in,government,"son for termination is one of the reasons set forth in section government body, or self-regulatory organizatio"
N.D.C.C. § 26.1-27-03,9319,of,or," 26.1-27-06 and also violated subsection 1, 2, or 3 of section or the administrator is not competent, trustwor"
N.D.C.C. § 26.1-31.2-02,9415,of,,"s financial institution, as defined in subsection 2 of section"
N.D.C.C. § 26.1-33-21,9474,of,,y to policies issued on or after the operative date of section
N.D.C.C. § 26.1-34.2-01.1,9506,in,,y under the best interest standard of care outlined in section
N.D.C.C. § 26.1-34-02,9514,and,contract,pecified in sections 26.1-34-03 through 26.1-34-06 and section contract must be based upon minimum nonforfeitu
N.D.C.C. § 26.1-34-11,9523,of,,ject to the requirements of subsections 1 through 7 of section
N.D.C.C. § 26.1-35-14,9540,of,under,eport developed under subdivision c of subsection 2 of section under this chapter; b. May otherwise be release
N.D.C.C. § 26.1-36-08.1,9636,and,c,y-five days of services covered under this section and section c. For the purpose of computing the period for 
N.D.C.C. § 26.1-36-12.4,9661,to,b, by a person authorized to provide consent pursuant to section b. If the data or information identifies the he
N.D.C.C. § 26.1-38.1-02,9726,of,subdivision, coverage is not provided under subsections 2 and 3 of section subdivision c of subsection 3 of section 26.1-3
N.D.C.C. § 26.1-38.1-03,9727,under,under,r the plan of operation established and approved under section under section 26.1-38.1-04. For purposes of adm
N.D.C.C. § 26.1-38.1-05,9729,to,insurer,treated as a distribution of estate assets pursuant to section  insurer. 9. If the association fails to act wi
N.D.C.C. § 26.1-40.2-04,9801,of,a,nsurer providing coverage under subsections 1 and 2 of section a. Occurs during the delivery available period 
N.D.C.C. § 26.1-40-01,9805,of,policy,"nal vehicle as that term is defined in subsection 2 of section ""Policy"" does not include any policy that has b"
N.D.C.C. § 26.1-40-01,9805,of,, any of the circumstances specified in subsection 2 of section
N.D.C.C. § 26.1-40-15.2,9823,in,,therein or supplemental thereto in limits set forth in section
N.D.C.C. § 26.1-41-18,9859,with,effect,who requests suspension of coverage in accordance with section effect if bodily injury is sustained while an o
N.D.C.C. § 26.1-46-02,9916,with,requirements,insurers chartered and licensed in this state and with section requirements of this state. Notwithstanding any
N.D.C.C. § 27-05.2-08,10130,under,,shall deposit in the fund certain fees collected under section
N.D.C.C. § 27-05-03.2,10140,to,, are applicable to those judges who retire pursuant to section
N.D.C.C. § 27-08.1-03,10173,of,, fee as prescribed in subdivision c of subsection 1 of section
N.D.C.C. § 27-17-06,10311,in,contributions,"lculated by applying the vesting schedule set forth in section contributions as calculated in subsection 1, pl"
N.D.C.C. § 27-19-13,10330,of,withdrawal,epted state civil jurisdiction under the provisions of section withdrawal. Withdrawal does not affect claims f
N.D.C.C. § 27-20.2-19,10371,of,cost,27-06 or the cost of an attorney under subsection 6 of section cost. 2. The commission on legal counsel for in
N.D.C.C. § 27-20.3-26,10406,under,extension, those rights and that relationship is warranted under section extension hearing also must inform the parties 
N.D.C.C. § 27-20.4-20,10430,or,entitled,"erwise, any order of restitution under this section or section entitled to the restitution in the same manner "
N.D.C.C. § 27-21-05,10466,to,,nless the recommendation is temporary care pursuant to section
N.D.C.C. § 29-06.1-03,11100,under,voluntary,e judge shall issue an order to transfer custody under section voluntary return of the person to that authorit
N.D.C.C. § 29-06-15,11120,under,h,"ffense of violating an order prohibiting contact under section h. On a charge, made upon reasonable cause, of "
N.D.C.C. § 29-12-14,11254,in,liability,"her officer returns a summons issued as is provided in section liability company, if it does not appear on and"
N.D.C.C. § 29-26-16,11451,of,determination,"e degree, and the provisions, so far as applicable, of section determination."
N.D.C.C. § 29-29.6-03,11540,of,,l finding required by subdivision b of subsection 1 of section
N.D.C.C. § 29-30.3-13,11577,to,authorize,e shall issue an order to transfer custody pursuant to section authorize the voluntary return of the person. 3
N.D.C.C. § 29-30.3-14,11578,to,that,e shall issue an order to transfer custody pursuant to section that the arrested person is not the demanded pe
N.D.C.C. § 29-30.3-19,11583,to,issued,e shall issue an order to transfer custody pursuant to section issued authorize the voluntary return of the pe
N.D.C.C. § 30.1-01-06,11696,under,b,"terested person"" includes: a. Except as provided under section b: (1) Heirs and devisees; (2) Children; (3) Sp"
N.D.C.C. § 30.1-04-18,11727,or,, child's parent or parents under section 30.1-04-19 or section.
N.D.C.C. § 30.1-05-06,11736,of,,tive share is filed in the court under subsection 1 of section
N.D.C.C. § 30.1-15-12,11850,of,if,"nd the court finds that a search under subsection 2 of section If the alleged decedent is not dead, even if no"
N.D.C.C. § 30.1-19-02,11898,under,," limitations, the proper presentation of a claim under section"
N.D.C.C. § 30.1-19-16,11912,under,in,"rs otherwise in a proceeding for a closing order under section In other cases, distribution of the estate of a"
N.D.C.C. § 30.1-20-06,11918,in,b,selected particular assets of an estate as provided in section b. Any homestead or family allowance or devise 
N.D.C.C. § 30.1-27-05,11966,under,,dian for a minor becoming an incapacitated adult under section
N.D.C.C. § 30.1-28-07,11983,under,, the report and accounting to those given notice under section
N.D.C.C. § 30.1-28-07.1,11985,in,,nformal request to the parties and those identified in section
N.D.C.C. § 30.1-28-16,11997,under,,", or at a separate involuntary treatment hearing under section"
N.D.C.C. § 30.1-29-08,12010,in,and,"only if satisfied, after notice to those identified in section and that the protected person either is incapab"
N.D.C.C. § 30.1-29-23,12026,in,person,ther than those requiring a court order as provided in section person knowingly deals with a conservator does 
N.D.C.C. § 30.1-29-25,12028,of,expenses,"o has not been adjudged disabled under subsection 2 of section expenses of administration, shall pay over and "
N.D.C.C. § 30.1-29-25,12028,in,the,"ppointment of a personal representative as provided in section the conservator, after administration, may be d"
N.D.C.C. § 31-13-03,12222,or,engaged,"ision e or f of subsection 1 of section 12.1-20-07, or section engaged in a nonconsensual sexual act or sexual"
N.D.C.C. § 32-08.1-03,12418,in,issued, that the debt is to become due. The bond specified in section issued before the maturity of the debt and a de
N.D.C.C. § 32-08.1-15,12430,to,within," the plaintiff a copy of the bond received pursuant to section within three days thereafter, give notice to th"
N.D.C.C. § 32-19-06.1,12687,to,, constitutes surplus payable to the debtor pursuant to section
N.D.C.C. § 32-19-18,12700,in,sixty-five,"the sale, except for abandoned property as provided in section sixty-five days after the filing of the summons"
N.D.C.C. § 32-19-41,12725,under,has,"y is adjudicated to be abandoned by an affidavit under section has been recorded, or after receipt and recordi"
N.D.C.C. § 32-19-41,12725,under,dispose," not adjudicated to be abandoned by an affidavit under section dispose of, without legal process, any personal"
N.D.C.C. § 32-29.4-24,12871,of,vacating,n a motion under subdivision a or b of subsection 1 of section vacating the award exists. 5. If a person comme
N.D.C.C. § 34-05-03,13079,under,disclose,"rom private employers, and information collected under section disclose information collected, records, and de"
